date,Type,AWND,PSUN,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WESD,WESF,WSF5
2018-03-21,H,11.445657361011689,0.879,0.003758052970651396,0.0,5.222817892444296,31.82,40.7048,23.9288,640.791,1.2401574803149606,0.0,28.222679551419706
2018-03-22,H,10.577513038142959,0.95,0.17834645669291338,1.1232051875868458,5.702604482132041,38.03,40.38384615384616,30.497692307692308,695.4,0.8880764904386952,0.13458734324876057,33.20252582063605
2018-03-23,H,nan,0.6283333333333334,0.05899546647578144,0.23394912174439736,4.82695477018861,37.4,43.99,27.5,461.82500000000005,1.1072834645669292,0.07012795275590551,8.184336363636364
2018-03-24,H,nan,0.7708333333333333,0.0,0.0,4.057433997220936,38.66,45.73142857142857,30.804285714285715,568.875,nan,nan,10.522718181818183
2018-03-25,F,nan,0.9311111111111111,0.12,1.0999999999999999,5.067433997220934,33.50000000000003,37.00000000000004,30.00000000000002,689.9533333333334,nan,nan,21.045436363636366
2018-03-26,F,nan,0.021111111111111112,0.0,0.0,5.007433997220939,32.9999999999999,41.9999999999999,23.9999999999999,15.706666666666667,nan,nan,17.53786363636364
2018-03-27,F,nan,0.09692307692307692,0.0,0.0,4.887433997220935,34.00000000000007,46.00000000000004,22.0000000000001,72.40153846153845,nan,nan,11.691909090909093
2018-03-28,F,nan,0.727,0.060000000000000005,0.0,4.617433997220935,36.5,46.00000000000004,26.99999999999996,545.25,nan,nan,4.676763636363637
2018-03-29,F,nan,0.7092307692307692,0.0,0.0,3.747433997220936,46.499999999999986,59.0,33.99999999999998,533.3415384615384,nan,nan,9.353527272727273
2018-03-30,F,nan,0.8,0.24000000000000005,nan,2.847433997220945,46.99999999999985,53.9999999999996,40.0000000000001,604.0,nan,nan,19.876245454545455
2018-03-31,F,nan,0.56625,0.19999999999999998,nan,2.09743399722095,44.49999999999992,51.9999999999998,37.00000000000004,429.21750000000003,nan,nan,25.7222
2018-04-01,F,nan,0.3854545454545455,0.0,nan,1.7074339972209458,38.50000000000007,47.00000000000012,30.00000000000002,293.33090909090913,nan,nan,15.19948181818182
